pdv,CouponDiscountAmt,CouponDiscountAmt_LAG_1,CouponDiscountAmt_LAG_2,CouponDiscountAmt_LAG_3,CouponDiscountAmt_LAG_4,CouponDiscountAmt_LAG_5,CouponDiscountAmt^2,CouponDiscountAmt_LAG_1_POLY_2,CouponDiscountAmt_LAG_2_POLY_2,CouponDiscountAmt_LAG_3_POLY_2,CouponDiscountAmt_LAG_4_POLY_2,CouponDiscountAmt_LAG_5_POLY_2
01533,2.5278169829137315e-24,-4.332009809689526e-07,5.0645432616797845e-08,4.2653600681792246e-24,-5.6563060787446084e-24,-1.2977079785296737e-23,3.23796576364694e-24,-2.330621244691898e-05,2.724724236322267e-06,-2.0151744069652906e-23,-1.876667488239954e-23,5.8404422893692486e-24
01543,-5.266658025630915e-19,-5.041670454676137e-08,-4.476476537160379e-08,-1.472236625799016e-07,-3.022126419655832e-07,-2.0796064016068992e-07,7.056227175708962e-23,-3.7812528410038985e-06,-3.3573574028633693e-06,-1.1041774693483427e-05,-2.2665948147369734e-05,-1.5597048012080656e-05
01547,9.635839746753928e-29,1.1437488425211149e-30,6.126054549909121e-31,3.0713426350939974e-31,8.654013455780958e-32,1.0502647678600773e-31,2.578475188903126e-32,-6.154608405149584e-33,-1.7854149650199488e-34,-1.0125917270054756e-33,2.7927489083978448e-33,1.0162350087468418e-33
01559,-1.7328182320531847e-23,-5.7718262928011825e-24,1.6022586123189435e-08,1.320789922184608e-23,-6.70152698691202e-08,8.348869182443525e-24,-5.3622112245579e-24,-1.9567402753397592e-23,1.201693959254674e-06,1.416431493645512e-23,-5.0261452401503854e-06,-1.7422830203144116e-23
01575,7.158715855413058e-33,8.724343175356012e-33,-5.733264483066885e-33,3.329978509763653e-33,7.634022396813752e-33,1.843030034644032e-33,-8.158325560358352e-34,-9.937340055166847e-34,-1.4126041121665039e-34,8.793709647888048e-34,-1.1399115108998172e-34,9.42302359823131e-34
01577,5.824590933708164e-32,1.3648226459115095e-34,1.9745290241137407e-34,-8.659850150271631e-34,2.7144012525123735e-34,9.692098208064886e-35,3.909609989238571e-34,-2.3842883827087843e-34,-9.958759976708493e-34,5.741690265814202e-34,-7.940547652475982e-34,1.0567581895310242e-34
01583,2.353752236333281e-18,-4.6039618524343005e-06,-3.7053123470379152e-06,-1.1738242821234045e-06,-4.429798756115238e-07,-2.4389442425018753e-06,-4.045609819387547e-23,-0.00037932041421371394,-0.00030528068201224844,-9.671138188804301e-05,-3.649711168137923e-05,-0.0002009446146519705
01596,7.839754411973369e-30,2.6692210777775526e-31,-5.652696522306145e-32,2.073511222139554e-32,4.823274594850673e-33,5.610003903085533e-32,-2.942273444525689e-32,-8.414424601580997e-33,2.4502219633261645e-33,-1.5116550702430304e-36,-3.1908126093006605e-33,2.8863052476555394e-34
01611,4.124212758372219e-23,-2.184905127809524e-06,4.330388528608903e-07,2.536852616298013e-23,5.078327249789428e-23,6.147728779139074e-23,6.293460892137163e-23,-0.00019277418676714092,3.820701944332226e-05,-1.0959838006380799e-22,-1.0178836495936332e-22,2.5302858861516434e-22
01649,-6.376469150716002e-31,-7.085375534117359e-32,4.882912786574475e-31,-2.0621472006839015e-31,1.2685029486710697e-31,-7.557345078924129e-33,-4.308773369485151e-33,2.263059767204201e-34,-1.2472237187444555e-33,7.3361476739064926e-34,-3.3459591223583716e-33,1.4844666157857018e-33
