PC1,PC2,pdv
-0.06575829294985724,-0.24239173530284921,01071
-0.06575829294984813,-0.2423917353028216,01076
-0.06575829294985405,-0.24239173530277988,01091
-0.06575829294985408,-0.2423917353027793,01174
-0.06575829294985402,-0.2423917353027793,01227
-0.06575829294985401,-0.24239173530277935,01235
-0.06575829294985402,-0.24239173530277935,01306
-0.06575829294985402,-0.24239173530277935,01375
-0.06575829294985402,-0.24239173530277935,01391
-0.06575829294985402,-0.24239173530277935,01412
-0.06488902176727955,-0.24084352658358155,01533
-0.06515875840763695,-0.23902651482611267,01543
-0.06575829294985402,-0.24239173530277935,01547
-0.0661238731791331,-0.24241335952036788,01559
-0.06575829294985402,-0.24239173530277935,01575
-0.06575829294985402,-0.24239173530277935,01577
-0.007917132593170471,-0.1587494611606839,01583
-0.06575829294985402,-0.24239173530277935,01596
-0.06155839192818637,-0.23358206632066267,01611
-0.06575829294985402,-0.24239173530277935,01649
-0.06575829294985402,-0.24239173530277935,01650
-0.06575829294985402,-0.24239173530277935,01657
-0.06575829294985402,-0.24239173530277935,01698
-0.06575829294985402,-0.24239173530277935,01705
-0.06589712751345145,-0.24263584641656927,01709
-0.06575829294985402,-0.24239173530277935,01714
-0.06575829294985402,-0.24239173530277935,01735
-0.06575829294985402,-0.24239173530277935,02205
-0.06575829294985402,-0.24239173530277935,02481
-0.06575829294985402,-0.24239173530277935,02486
-0.06502761039611946,-0.24035734096157796,02532
-0.06575829294985402,-0.24239173530277935,02644
-0.06575829294985402,-0.24239173530277935,02975
-0.06549747533488304,-0.24232223640142805,03214
-0.06575829294985402,-0.24239173530277935,03227
-0.06575829294985402,-0.24239173530277935,03233
-0.06575829294985402,-0.24239173530277935,04023
-0.05886841595085968,-0.23116594124365328,04030
-0.06575829294985402,-0.24239173530277935,04042
-0.06575829294985402,-0.24239173530277935,04043
-0.06575829294985402,-0.24239173530277935,04051
-0.06575829294985402,-0.24239173530277935,04058
-0.06575829294985402,-0.24239173530277935,04068
-0.06575829294985402,-0.24239173530277935,06056
-0.06575829294985402,-0.24239173530277935,06128
-0.06575829294985402,-0.24239173530277935,06147
-0.06575829294985402,-0.24239173530277935,06159
-0.06575829294985402,-0.24239173530277935,06187
-0.06575829294985402,-0.24239173530277935,06201
-0.06575829294985402,-0.24239173530277935,06205
-0.06575829294985402,-0.24239173530277935,06228
-0.06575829294985402,-0.24239173530277935,06231
-0.06575829294985402,-0.24239173530277935,06322
-0.06575829294985402,-0.24239173530277935,06423
-0.06575829294985402,-0.24239173530277935,06449
-0.06575829294985402,-0.24239173530277935,06498
-0.06575829294985402,-0.24239173530277935,06503
